55.898811 -4.330211 | anniesland industrial estate unit 12e2 | glasgow | lanarkshire | g13 1eu
55.852202 -4.158652 | sandilands st block 3 | glasgow | lanarkshire | g32 0ht
55.814650 -4.131489 | 5 birch pl | glasgow | lanarkshire | g72 7xu
55.844360 -4.261765 | 12 612 eglinton st | glasgow | lanarkshire | g5 9rr
55.900097 -4.350005 | 2141 great western rd | glasgow | lanarkshire | g13 2xx
55.826058 -4.169317 | 30 clydesmill dr unit 1 | glasgow | lanarkshire | g32 8rg
55.850226 -4.232764 | 62 templeton st | glasgow | lanarkshire | g40 1da
55.940497 -4.138130 | 97 highfield rd | glasgow | lanarkshire | g66 2eg
55.889891 -4.324104 | 1622 great western rd unit 4 | glasgow | lanarkshire | g13 1hh
55.857312 -4.250808 | 43-51 argyle st | glasgow | lanarkshire | g2 8ah
55.887687 -4.377953 | 2351 dumbarton rd | glasgow | lanarkshire | g14 0nn
55.865246 -4.269657 | 349 bath st building 349 | glasgow | lanarkshire | g2 4aa
55.862943 -4.315431 | govan workspace 6 harmony row unit 4 | glasgow | lanarkshire | g51 3ba
55.799862 -4.391612 | 108 main st | glasgow | lanarkshire | g78 1se
55.873555 -4.330633 | 56 medwyn st unit 4 | glasgow | lanarkshire | g14 9rp
55.860167 -4.359974 | 40 ainslie rd building 40 | glasgow | dunbartonshire | g52 4ru
55.976031 -3.960631 | 1 napier ct | glasgow | lanarkshire | g68 0lg
55.860780 -4.113592 | evans business centre springhill parkway unit 12 | glasgow | lanarkshire | g69 6ga
55.857967 -4.243926 | 45 bell st | glasgow | lanarkshire | g1 1nx
55.975350 -4.064881 | 20 garrell rd | glasgow | lanarkshire | g65 9jx
55.865201 -4.274141 | 48 berkeley st | glasgow | lanarkshire | g3 7ds
55.839561 -4.247995 | south point 15 lawmoor rd unit 3b | glasgow | lanarkshire | g5 0ug
55.885654 -4.362063 | 18 pennan pl | glasgow | lanarkshire | g14 0ea
55.738010 -4.202229 | 10 ochil ct | glasgow | lanarkshire | g75 9gj
55.870613 -4.315814 | 563 dumbarton rd | glasgow | lanarkshire | g11 6hu
55.908482 -4.301994 | glasgow golf club | glasgow | lanarkshire | g61 2tw
55.865744 -4.357384 | alex ferguson park 8 row ave | glasgow | lanarkshire | g51 4sy
55.845267 -4.136788 | 47 mansionhouse rd unit 3 | glasgow | lanarkshire | g32 0rp
55.821282 -4.173659 | 7 somervell st unit 9 | glasgow | lanarkshire | g72 7eb
55.846192 -4.311679 | 20 dumbreck rd | glasgow | lanarkshire | g41 5bw
55.811670 -4.142319 | 262 hamilton rd | glasgow | lanarkshire | g72 7pf
55.866320 -4.345585 | 35 bogmoor pl unit 2 | glasgow | lanarkshire | g51 4tq
55.863447 -4.258703 | 120 west regent st | glasgow | lanarkshire | g2 2qd
55.859261 -4.252654 | 5 royal exchange square | glasgow | lanarkshire | g1 3ah
55.865635 -4.278535 | 10 sandyford pl | glasgow | lanarkshire | g3 7nb
